% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=386810, Wed Sep 25 18:40:05 2024, <python>{}</python>
1 4 0.23381232414083955 1.0 0.27 2.7000000000000002e-01 0.33999999999999997 0.35 0.07499999999999996   
2 8 0.24640741059941396 1.0 0.10999999999999999 1.0999999999999999e-01 0.33999999999999997 0.44999999999999996 0.26499999999999996   
3 12 0.156718600447057 1.0 0.030000000000000027 3.0000000000000027e-02 0.24 0.31 0.185   
4 16 0.11882964743637991 1.0 0.030000000000000027 4.0000000000000036e-02 0.040000000000000036 0.09999999999999998 0.02999999999999997   
5 20 0.08252922448789615 1.0 0.010000000000000009 1.0000000000000009e-02 0.15000000000000002 0.29000000000000004 0.17000000000000004   
6 24 0.06321369253213771 1.0 0.0 0.0000000000000000e+00 0.07 0.07 0.04999999999999999   
7 28 0.04574923501854727 1.0 0.0 1.0000000000000009e-02 0.040000000000000036 0.07 0.04500000000000001   
8 32 0.04312669919841656 1.0 0.0 1.0000000000000009e-02 0.020000000000000018 0.030000000000000027 0.015000000000000013   
9 36 0.038148193245495704 1.0 0.0 1.0000000000000009e-02 0.030000000000000027 0.030000000000000027 0.020000000000000018   
10 40 0.027449930114756462 1.0 0.0 1.0000000000000009e-02 0.030000000000000027 0.03999999999999998 0.01999999999999999   
11 44 0.019160253204148735 1.0 0.0 0.0000000000000000e+00 0.010000000000000009 0.030000000000000027 0.015000000000000013   
12 48 0.01939308116270735 1.0 0.0 1.0000000000000009e-02 0.010000000000000009 0.010000000000000009 0.0   
13 52 0.012845127235003756 1.0 0.0 1.0000000000000009e-02 0.010000000000000009 0.010000000000000009 0.0   
