% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=386810, Wed Sep 25 18:40:05 2024, <python>{}</python>
1 4 0.23381232414083955 0 0 0.23634840192388992
2 8 0.24640741059941396 0 0 0.2500666569468074
3 12 0.156718600447057 0 0 0.13697209897471607
4 16 0.11882964743637991 0 0 0.09050976881809542
5 20 0.08252922448789615 0 0 0.054790483992538774
6 24 0.06321369253213771 0 0 0.03689885698986327
7 28 0.04574923501854727 0 0 0.023163097217288493
8 32 0.04312669919841656 0 0 0.020388450103854018
9 36 0.038148193245495704 0 0 0.016149032425819606
10 40 0.027449930114756462 0 0 0.010166798437053065
11 44 0.019160253204148735 0 0 0.006395327875488173
12 48 0.01939308116270735 0 0 0.006292486349082991
13 52 0.012845127235003756 0 0 0.0036784284913955285
