% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=386810, Wed Sep 25 18:40:05 2024
1 4 0.23381232414083955 1.0 1.0 1.0
2 8 0.24640741059941396 1.010846638612269 1.010846638612269 1.010846638612269
3 12 0.156718600447057 1.0148503908161361 1.0148503908161361 1.0148503908161361
4 16 0.11882964743637991 0.8740002691702716 0.8740002691702716 0.8740002691702716
5 20 0.08252922448789615 0.7616766587358037 0.7616766587358037 0.7616766587358037
6 24 0.06321369253213771 0.663891904140871 0.663891904140871 0.663891904140871
7 28 0.04574923501854727 0.5837162094447175 0.5837162094447175 0.5837162094447175
8 32 0.04312669919841656 0.5063056728248659 0.5063056728248659 0.5063056728248659
9 36 0.038148193245495704 0.4727570271504248 0.4727570271504248 0.4727570271504248
10 40 0.027449930114756462 0.42332365053032706 0.42332365053032706 0.42332365053032706
11 44 0.019160253204148735 0.37037611369318657 0.37037611369318657 0.37037611369318657
12 48 0.01939308116270735 0.3337809687245367 0.3337809687245367 0.3337809687245367
13 52 0.012845127235003756 0.32447068602916807 0.32447068602916807 0.32447068602916807
